Basin,01/03/2022,01/12/2022,11/22/2021,12/14/2021,12/20/2021,12/27/2021,All
Anadarko,63.0,62.0,55.0,57.0,56.0,59.0,352
Arkoma,3.0,2.0,5.0,6.0,6.0,4.0,26
Austin Chalk,2.0,3.0,4.0,2.0,2.0,2.0,15
Bakken,33.0,32.0,31.0,31.0,34.0,32.0,193
Barnett,19.0,19.0,16.0,19.0,21.0,20.0,114
Cherokee,,1.0,,,,,1
DJ Basin,18.0,19.0,22.0,23.0,25.0,21.0,128
Eagleford,56.0,59.0,51.0,59.0,57.0,59.0,341
Green River,3.0,3.0,2.0,2.0,2.0,2.0,14
Gulf Coast,21.0,19.0,22.0,20.0,22.0,21.0,125
Haynesville,68.0,67.0,59.0,62.0,65.0,66.0,387
Michigan,1.0,2.0,1.0,2.0,2.0,2.0,10
Mississippi,3.0,2.0,4.0,5.0,4.0,4.0,22
North Slope,2.0,2.0,4.0,3.0,3.0,2.0,16
Northeast,48.0,55.0,47.0,50.0,50.0,49.0,299
Offshore,26.0,23.0,20.0,24.0,24.0,25.0,142
Permian - Delaware,152.0,147.0,140.0,154.0,152.0,161.0,906
Permian - Midland,143.0,140.0,135.0,139.0,136.0,137.0,830
Piceance,2.0,2.0,2.0,2.0,2.0,2.0,12
Powder River,10.0,9.0,15.0,12.0,13.0,11.0,70
San Juan,4.0,3.0,3.0,3.0,4.0,4.0,21
Sedgwick,4.0,8.0,10.0,6.0,9.0,6.0,43
Tuscaloosa,2.0,2.0,2.0,3.0,4.0,3.0,16
Uintah,9.0,11.0,9.0,9.0,10.0,8.0,56
West Coast,5.0,5.0,9.0,6.0,7.0,6.0,38
All,697.0,697.0,668.0,699.0,710.0,706.0,4177
